Bookmark
Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Query%20Builder%20for%20Traffic%20Counts%20(1985%20-%20Last%20Calendar%20Year)

ParkName,UnitCode,ParkType,Region,TrafficCounter,Year,Month,TrafficCount,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionType,TrafficCountTotal,YearTotal,TrafficCountTotal
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2019,9,"17,852",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2019,"122,415"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2019,10,"7,205",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2019,"122,415"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2019,11,"1,824",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2019,"122,415"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2019,12,968,Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT PINNACLES ENTRANCE (2603),2019,"122,415"
Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2019,1,"3,392",Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2019,"63,611"
Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2019,2,"5,791",Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2019,"63,611"
Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2019,3,"11,143",Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2019,"63,611"
Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2019,4,"7,253",Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2019,"63,611"
Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2019,5,"5,227",Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2019,"63,611"
Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2019,6,"3,319",Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2019,"63,611"
Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2019,7,"3,120",Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2019,"63,611"
Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2019,8,"2,648",Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2019,"63,611"
Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2019,9,"2,946",Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2019,"63,611"
Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2019,10,"5,687",Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2019,"63,611"
Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2019,11,"6,682",Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2019,"63,611"
Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2019,12,"6,403",Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2019,"63,611"
Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2019,1,"7,056",Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2019,"100,182"
Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2019,2,"9,423",Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2019,"100,182"
Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2019,3,"18,037",Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2019,"100,182"
Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2019,4,"10,000",Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2019,"100,182"
Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2019,5,"8,000",Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2019,"100,182"
Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2019,6,"4,354",Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2019,"100,182"
Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2019,7,"4,722",Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2019,"100,182"
Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2019,8,"3,641",Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2019,"100,182"
Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2019,9,"4,709",Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2019,"100,182"
Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2019,10,"9,337",Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2019,"100,182"
Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2019,11,"11,103",Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2019,"100,182"
Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2019,12,"9,800",Big Bend NP,BIBE,National Park,Intermountain ,TRAFFIC COUNT AT ROUTE 13-MAVERICK,2019,"100,182"
Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2019,1,"14,533",Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2019,"165,491"
Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2019,2,"15,432",Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2019,"165,491"
Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2019,3,"16,801",Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2019,"165,491"
Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2019,4,"13,957",Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2019,"165,491"
Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2019,5,"19,404",Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2019,"165,491"
Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2019,6,"11,587",Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2019,"165,491"
Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2019,7,"10,067",Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2019,"165,491"
Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2019,8,"7,344",Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2019,"165,491"
Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2019,9,"11,876",Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2019,"165,491"
Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2019,10,"7,956",Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2019,"165,491"
Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2019,11,"17,179",Biscayne NP,BISC,National Park,Southeast ,Traffic Count at Visitor Center,2019,"165,491"
